,ID,condition,coords
d491,d491,d,"[[663 625]
 [676 628]
 [705 630]
 [725 629]
 [741 626]
 [757 629]
 [775 626]
 [789 622]
 [805 618]
 [820 618]
 [838 619]
 [858 617]
 [873 612]
 [886 609]
 [902 606]
 [919 602]
 [941 597]
 [947 594]
 [956 594]]"
v6016,v6016,v,"[[ 940  574]
 [ 962  622]
 [1018  682]]"
d169,d169,d,"[[660 554]
 [668 544]
 [680 514]
 [686 488]
 [689 477]
 [699 459]
 [708 450]
 [719 437]
 [732 420]
 [741 414]
 [744 405]]"
e4050b,e4050b,e,"[[419 393]
 [430 400]
 [434 402]
 [441 402]
 [445 405]
 [450 409]
 [455 413]
 [459 415]
 [464 420]
 [469 425]
 [478 440]
 [480 446]]"
d2086,d2086,d,"[[301 411]
 [324 415]
 [360 438]
 [398 464]
 [428 488]
 [441 502]
 [462 530]
 [478 554]
 [502 575]
 [513 592]]"
e182,e182,e,"[[727 244]
 [735 260]
 [748 280]
 [760 299]]"
e4017,e4017,e,"[[797 726]
 [825 695]
 [835 675]
 [846 653]
 [854 629]
 [866 608]
 [895 560]]"
v1036,v1036,v,"[[584 732]
 [575 720]
 [574 700]
 [559 680]
 [558 657]
 [557 643]
 [551 629]
 [533 608]
 [519 582]
 [510 548]
 [498 497]
 [491 476]
 [491 464]
 [488 453]
 [478 439]]"
d2098,d2098,d,"[[657 574]
 [670 590]
 [688 603]
 [706 622]
 [715 634]
 [731 652]
 [765 675]]"
v10204,v10204,v,"[[640 539]
 [645 534]
 [648 526]
 [652 518]
 [656 506]
 [663 496]
 [673 484]
 [678 478]
 [685 472]
 [694 466]
 [700 462]
 [712 456]
 [725 451]
 [740 449]
 [754 446]
 [770 445]
 [782 445]
 [794 444]
 [802 444]]"
e256,e256,e,"[[1134  824]
 [1149  824]
 [1168  830]
 [1182  833]
 [1187  837]
 [1201  841]]"
e4009,e4009,e,"[[645 513]
 [672 539]
 [688 555]
 [701 562]
 [718 567]]"
v28,v28,v,"[[435 698]
 [429 690]
 [421 681]
 [412 670]
 [404 663]
 [395 654]
 [384 647]
 [366 642]]"
e4078,e4078,e,"[[571 374]
 [573 388]
 [581 399]
 [586 407]
 [591 415]
 [600 428]
 [602 433]
 [605 441]
 [608 447]]"
e227,e227,e,"[[641 362]
 [639 376]
 [637 392]
 [642 419]
 [650 437]
 [660 464]]"
v6020,v6020,v,"[[ 612 3222]
 [ 612 3226]
 [ 594 3286]
 [ 556 3354]
 [ 496 3438]
 [ 476 3458]
 [ 474 3458]
 [ 468 3464]]"
d1003b,d1003b,d,"[[1646 3352]
 [1606 3354]
 [1580 3374]
 [1546 3400]
 [1520 3426]
 [1496 3470]
 [1484 3502]]"
e4005,e4005,e,"[[515 531]
 [527 521]
 [541 511]
 [549 507]
 [555 503]
 [560 499]
 [566 491]
 [574 484]
 [578 480]]"
v1024,v1024,v,"[[606 422]
 [626 470]
 [636 505]
 [640 536]
 [644 560]
 [647 582]
 [648 620]]"
d513,d513,d,"[[591 497]
 [575 503]
 [550 509]
 [539 521]
 [531 534]
 [525 544]
 [522 554]
 [521 561]
 [518 572]
 [517 586]
 [517 597]
 [517 606]
 [517 615]]"
e18,e18,e,"[[701 264]
 [680 264]
 [670 263]
 [656 261]
 [644 260]
 [631 259]
 [618 261]
 [609 264]
 [596 269]
 [581 270]
 [569 275]
 [559 276]
 [553 278]]"
e65,e65,e,"[[589 607]
 [605 607]
 [618 603]
 [628 600]
 [642 596]
 [654 592]
 [676 581]]"
e4049b,e4049b,e,"[[ 980  462]
 [ 989  486]
 [ 998  518]
 [1000  539]
 [1007  568]
 [1014  597]]"
d501,d501,d,"[[1325  446]
 [1319  478]
 [1295  540]
 [1280  579]
 [1244  620]]"
v270,v270,v,"[[564 519]
 [589 569]
 [607 604]
 [622 628]]"
d1003,d1003,d,"[[1034 1414]
 [1062 1428]
 [1092 1426]
 [1130 1414]
 [1150 1398]
 [1172 1380]
 [1184 1362]]"
