,ID,condition,coords
d491,d491,d,"[[793.5 448.5]
 [808.  443.5]
 [827.  442. ]
 [840.5 425. ]
 [816.5 464.5]
 [812.5 488. ]
 [794.5 483. ]
 [803.5 508.5]
 [815.5 518. ]
 [835.  534.5]
 [844.5 547.5]
 [851.5 569. ]
 [845.  589.5]
 [858.5 601.5]
 [835.5 604.5]
 [826.5 587.5]
 [872.5 578. ]
 [882.  594.5]
 [902.  574. ]
 [893.  557.5]
 [874.  550.5]
 [913.5 554.5]
 [939.  580.5]
 [950.  533. ]
 [971.  523.5]
 [795.5 574.5]
 [819.  573. ]
 [828.5 566.5]
 [801.  537. ]
 [785.5 531. ]
 [815.5 552.5]
 [801.5 596.5]
 [790.  612. ]
 [821.5 611. ]
 [767.  616. ]
 [758.  593.5]
 [757.5 576. ]
 [768.5 558.5]
 [767.  541. ]
 [753.  519.5]
 [739.5 533.5]
 [744.5 563. ]
 [737.  503.5]
 [714.  514. ]
 [724.  485. ]
 [684.  457. ]
 [686.5 485. ]
 [692.  518.5]
 [670.5 521.5]
 [659.5 505.5]
 [631.  518. ]
 [631.  529. ]
 [646.5 534. ]
 [658.5 545.5]
 [674.5 560. ]
 [664.5 566. ]
 [679.  572.5]
 [688.5 592.5]
 [669.  591.5]
 [647.  574. ]
 [636.5 567. ]
 [639.5 598.5]
 [667.5 615. ]
 [702.5 619. ]
 [715.  600. ]
 [725.  604. ]
 [731.5 585.5]
 [713.  575. ]
 [713.  556. ]
 [730.5 612. ]
 [742.5 617. ]
 [739.5 601.5]]"
v6016,v6016,v,"[[1058.  610.]
 [1046.  580.]
 [1014.  594.]
 [1010.  554.]
 [ 976.  580.]
 [ 976.  548.]
 [1028.  658.]
 [1046.  638.]
 [1072.  636.]
 [1118.  626.]
 [1084.  578.]
 [1106.  552.]
 [1092.  528.]
 [1126.  526.]
 [1154.  516.]
 [1130.  486.]
 [1112.  442.]
 [1092.  468.]
 [1058.  488.]
 [1024.  514.]
 [1156.  478.]
 [1188.  456.]
 [1244.  462.]
 [1214.  492.]
 [1188.  538.]
 [1174.  578.]
 [1230.  594.]
 [1180.  658.]
 [1256.  562.]
 [1248.  542.]
 [1196.  612.]]"
d169,d169,d,"[[652.      280.66666]
 [646.      302.66666]
 [645.3333  317.33334]
 [635.3333  298.66666]
 [612.6667  296.66666]
 [632.6667  270.     ]
 [594.6667  284.     ]
 [532.      269.33334]
 [511.33334 280.     ]
 [489.33334 256.     ]
 [478.      287.33334]
 [482.      304.     ]
 [461.33334 306.     ]
 [426.      276.66666]
 [402.66666 319.33334]
 [420.      341.33334]
 [451.33334 332.66666]
 [472.66666 334.66666]
 [487.33334 329.33334]
 [505.33334 333.33334]
 [511.33334 304.66666]
 [532.6667  316.66666]
 [537.3333  341.33334]
 [554.      330.     ]
 [536.6667  356.     ]
 [591.3333  337.33334]
 [575.3333  368.     ]
 [569.3333  393.33334]
 [603.3333  394.     ]
 [608.      367.33334]
 [631.3333  394.     ]
 [640.6667  372.66666]
 [655.3333  398.     ]
 [678.6667  386.66666]
 [671.3333  338.66666]
 [689.3333  295.33334]
 [666.      435.33334]
 [671.3333  472.     ]
 [654.      468.     ]
 [651.3333  486.66666]
 [633.3333  467.33334]
 [614.6667  460.66666]
 [606.6667  447.33334]
 [584.6667  424.66666]
 [542.6667  400.     ]
 [514.6667  375.33334]
 [509.33334 390.66666]
 [498.66666 403.33334]
 [482.66666 402.66666]
 [471.33334 391.33334]
 [488.      359.33334]
 [497.33334 421.33334]
 [484.66666 435.33334]
 [468.      420.     ]
 [458.      458.     ]
 [436.      432.66666]
 [415.33334 422.     ]
 [416.      456.     ]
 [416.      478.66666]
 [388.66666 482.66666]
 [571.3333  317.33334]
 [610.      340.     ]]"
e4050b,e4050b,e,"[[454.5 459. ]
 [429.5 437. ]
 [447.  426. ]
 [428.  418. ]
 [403.5 440. ]
 [387.  444.5]
 [372.5 425. ]
 [385.  462. ]
 [393.5 482. ]
 [405.5 463.5]
 [424.  451. ]
 [424.5 471. ]
 [418.  485. ]
 [410.  504.5]
 [413.  526.5]
 [435.  523. ]
 [442.  509. ]
 [460.  501.5]
 [455.5 522. ]
 [471.  525. ]
 [485.5 507. ]
 [444.5 542. ]
 [431.  550. ]
 [428.5 569. ]
 [429.5 589. ]
 [408.  582. ]
 [414.  557.5]
 [394.5 550. ]
 [377.5 526. ]
 [395.  522. ]
 [382.  499. ]
 [361.  487. ]
 [346.5 464. ]
 [357.  443.5]
 [330.  431.5]
 [304.  435. ]
 [350.  520. ]
 [326.5 538. ]
 [331.  522. ]
 [347.  556. ]
 [372.5 546.5]
 [464.5 588.5]
 [484.  546. ]
 [490.  530.5]
 [462.5 547. ]]"
d2086,d2086,d,"[[206.66667 354.     ]
 [269.33334 375.33334]
 [290.66666 370.     ]
 [326.66666 400.66666]
 [346.6667  380.66666]
 [364.      360.66666]
 [369.3333  390.     ]
 [388.      376.66666]
 [396.      399.33334]
 [381.3333  415.33334]
 [378.6667  438.     ]
 [404.      432.66666]
 [397.3333  448.66666]
 [408.      462.     ]
 [426.6667  476.66666]
 [444.      490.     ]
 [461.3333  514.     ]
 [470.6667  522.     ]
 [477.3333  531.3333 ]
 [490.6667  547.3333 ]
 [510.6667  560.6667 ]
 [524.      579.3333 ]
 [509.3333  530.     ]
 [492.      515.3333 ]
 [488.      494.     ]
 [454.6667  482.     ]
 [449.3333  466.     ]
 [448.      434.     ]
 [425.3333  407.33334]
 [565.3333  604.6667 ]
 [572.      587.3333 ]
 [590.6667  596.6667 ]
 [605.3333  586.     ]
 [633.3333  616.6666 ]
 [645.3333  632.6666 ]
 [710.6667  595.3333 ]
 [545.3333  535.3333 ]
 [537.3333  518.     ]
 [664.      506.     ]
 [678.6667  470.     ]
 [709.3333  492.6667 ]
 [654.6667  460.66666]
 [628.      426.     ]
 [548.      470.     ]
 [566.6667  396.66666]
 [581.3333  368.66666]
 [550.6667  344.66666]
 [530.6667  351.33334]
 [464.      336.66666]
 [605.3333  471.3333 ]]"
e182,e182,e,"[[695.      243.33333]
 [677.      236.66667]
 [668.3333  259.33334]
 [683.      268.     ]
 [651.6667  267.33334]
 [678.3333  287.33334]
 [685.6667  310.     ]
 [689.      332.66666]
 [706.3333  319.33334]
 [716.3333  342.     ]
 [729.      352.     ]
 [757.6667  356.66666]
 [769.      372.     ]
 [759.      390.     ]
 [735.6667  396.     ]
 [715.6667  379.33334]
 [720.3333  393.33334]
 [694.3333  353.33334]
 [675.6667  352.     ]
 [659.      360.     ]
 [637.6667  351.33334]
 [637.      325.33334]
 [627.      314.66666]
 [639.      302.     ]
 [661.6667  302.66666]
 [607.      284.     ]
 [620.3333  292.66666]
 [590.3333  297.33334]
 [575.6667  276.     ]
 [558.3333  282.66666]
 [531.      293.33334]
 [511.      301.33334]
 [527.6667  315.33334]
 [545.      329.33334]
 [556.3333  349.33334]
 [615.      258.     ]
 [596.5     269.     ]
 [531.5     380.     ]
 [551.5     385.     ]
 [546.5     408.5    ]
 [570.5     392.     ]
 [570.5     319.5    ]
 [551.5     307.     ]
 [596.      350.     ]
 [583.      342.5    ]
 [576.5     353.     ]
 [587.5     367.     ]
 [593.      389.     ]
 [605.      407.     ]
 [612.      389.5    ]
 [616.      372.5    ]
 [618.      358.     ]
 [632.      377.     ]
 [653.      384.5    ]
 [640.5     411.     ]
 [668.5     402.     ]
 [662.      424.5    ]
 [677.5     415.     ]
 [695.5     399.5    ]
 [708.5     420.     ]
 [696.5     378.5    ]
 [675.      377.5    ]
 [720.5     306.     ]
 [728.      317.     ]
 [608.      312.5    ]
 [700.5     268.5    ]
 [660.5     329.     ]
 [621.5     341.     ]
 [739.5     371.     ]
 [709.5     295.5    ]
 [713.5     283.     ]
 [721.5     270.5    ]]"
e4017,e4017,e,"[[878.      469.     ]
 [924.      474.     ]
 [914.      495.     ]
 [873.      504.     ]
 [850.      525.     ]
 [868.      521.     ]
 [845.      498.     ]
 [838.      542.     ]
 [861.      547.     ]
 [869.      569.     ]
 [849.      592.     ]
 [849.      565.     ]
 [833.      571.     ]
 [788.      534.     ]
 [775.      529.     ]
 [776.      501.     ]
 [791.      494.     ]
 [775.      470.     ]
 [805.      480.     ]
 [807.      603.     ]
 [822.      621.     ]
 [812.      637.     ]
 [803.      674.     ]
 [793.      645.     ]
 [779.      657.     ]
 [745.      655.     ]
 [740.      684.     ]
 [751.      699.     ]
 [735.      724.     ]
 [723.      739.     ]
 [716.      717.     ]
 [727.      697.     ]
 [700.      683.     ]
 [691.      654.     ]
 [689.      635.     ]
 [709.      638.     ]
 [720.      643.     ]
 [667.      643.     ]
 [654.      646.     ]
 [653.      631.     ]
 [635.      614.     ]
 [610.      627.     ]
 [612.      641.     ]
 [670.      675.     ]
 [657.      676.     ]
 [663.      699.     ]
 [687.      717.     ]
 [916.6666  449.66666]]"
v1036,v1036,v,"[[576.5    496.5   ]
 [593.     489.5   ]
 [601.5    506.5   ]
 [585.     524.5   ]
 [565.5    514.5   ]
 [547.5    526.    ]
 [547.5    550.    ]
 [568.     539.    ]
 [578.     549.    ]
 [592.     541.    ]
 [612.     522.    ]
 [616.5    545.    ]
 [623.     562.    ]
 [623.5    580.5   ]
 [600.     574.5   ]
 [579.5    570.5   ]
 [590.     585.5   ]
 [582.5    600.5   ]
 [588.     613.    ]
 [571.5    616.    ]
 [572.5    634.    ]
 [600.5    648.    ]
 [609.5    620.    ]
 [609.5    601.    ]
 [601.5    667.5   ]
 [607.     690.    ]
 [587.     684.    ]
 [558.5    578.5   ]
 [623.5    595.    ]
 [592.     628.3333]
 [585.3333 657.6667]
 [560.6667 553.    ]
 [604.6667 540.3333]
 [524.6667 552.3333]]"
d2098,d2098,d,"[[644. 521.]
 [648. 542.]
 [663. 557.]
 [672. 542.]
 [666. 524.]
 [685. 583.]
 [693. 555.]
 [708. 607.]
 [719. 593.]
 [734. 605.]
 [726. 626.]
 [764. 649.]
 [784. 647.]
 [778. 669.]
 [790. 685.]
 [808. 699.]
 [830. 699.]
 [818. 677.]
 [830. 668.]
 [851. 699.]
 [851. 670.]
 [880. 680.]
 [876. 649.]
 [862. 629.]
 [829. 635.]
 [823. 626.]
 [798. 629.]
 [810. 603.]
 [794. 600.]
 [784. 586.]
 [756. 584.]
 [750. 601.]
 [732. 573.]
 [718. 565.]
 [707. 546.]
 [689. 533.]
 [702. 526.]
 [680. 513.]
 [690. 499.]
 [672. 477.]
 [694. 474.]
 [695. 452.]
 [717. 459.]
 [679. 461.]
 [736. 458.]
 [732. 479.]
 [732. 504.]
 [738. 521.]
 [720. 528.]
 [770. 549.]
 [783. 565.]
 [789. 545.]
 [779. 533.]
 [804. 566.]
 [810. 584.]
 [840. 618.]
 [851. 602.]
 [826. 573.]
 [816. 532.]
 [793. 519.]
 [793. 503.]
 [782. 492.]
 [772. 505.]
 [758. 499.]
 [765. 462.]
 [774. 443.]
 [735. 402.]
 [734. 376.]
 [723. 344.]
 [735. 354.]
 [747. 325.]
 [819. 492.]
 [816. 551.]
 [776. 621.]]"
v10204,v10204,v,"[[768.6667  416.     ]
 [748.      412.66666]
 [734.      421.33334]
 [708.6667  427.33334]
 [685.3333  445.33334]
 [666.6667  435.33334]
 [660.6667  424.     ]
 [664.6667  406.66666]
 [686.6667  398.66666]
 [710.      394.66666]
 [656.6667  455.33334]
 [632.      492.     ]
 [622.      505.33334]
 [618.6667  470.     ]
 [627.3333  446.66666]
 [623.3333  427.33334]
 [626.      409.33334]
 [632.6667  394.     ]
 [650.      404.     ]
 [626.6667  366.     ]
 [612.      380.66666]
 [588.6667  374.66666]
 [597.3333  348.     ]
 [594.      336.     ]
 [617.3333  338.66666]
 [576.      338.66666]
 [559.3333  350.     ]
 [560.      367.33334]
 [544.      365.33334]
 [526.6667  361.33334]
 [507.33334 349.33334]
 [520.      338.66666]
 [512.6667  322.66666]
 [511.33334 306.66666]
 [489.33334 292.     ]
 [494.66666 311.33334]
 [476.66666 320.66666]
 [467.33334 298.66666]
 [454.      294.     ]
 [491.33334 331.33334]
 [531.3333  304.66666]
 [552.6667  310.66666]
 [549.3333  296.66666]
 [544.      322.66666]
 [570.      316.     ]
 [471.33334 346.66666]
 [474.66666 362.66666]
 [486.      348.66666]
 [493.33334 364.     ]
 [484.66666 372.66666]
 [466.66666 379.33334]
 [452.      368.     ]
 [506.      380.     ]
 [514.6667  371.33334]
 [502.      401.33334]
 [498.66666 415.33334]
 [494.66666 434.66666]
 [510.      450.66666]
 [496.66666 462.     ]
 [521.3333  477.33334]
 [526.      456.66666]
 [522.      430.66666]
 [537.3333  413.33334]
 [548.      453.33334]
 [562.      460.     ]
 [558.6667  443.33334]
 [581.3333  479.3333 ]
 [588.      458.     ]
 [599.3333  489.33334]
 [594.6667  476.66666]
 [605.3333  400.66666]
 [613.3333  445.33334]
 [610.      424.66666]
 [638.6667  340.66666]
 [630.6667  354.     ]
 [725.3333  386.     ]
 [747.3333  390.66666]
 [645.3333  468.66666]]"
