,ID,condition,coords
d491,d491,d,"[[667.5 478. ]
 [692.  560. ]
 [778.  569. ]
 [773.5 458.5]
 [942.5 558. ]]"
v6016,v6016,v,"[[1118.  586.]
 [ 992.  610.]]"
d169,d169,d,"[[652.      450.66666]
 [428.      362.     ]
 [679.6667  319.66666]]"
e4050b,e4050b,e,"[[436.5 467. ]
 [378.5 479. ]]"
d2086,d2086,d,"[[516.     512.6667]
 [604.     378.    ]]"
e182,e182,e,"[[569.6667  298.     ]
 [520.3333  359.33334]
 [568.3333  374.     ]
 [632.3333  282.66666]
 [726.3333  414.     ]
 [658.3333  287.33334]
 [740.3333  302.66666]]"
e4017,e4017,e,"[[819.     542.    ]
 [631.     636.    ]
 [776.6667 677.3334]
 [682.6667 687.3334]]"
v1036,v1036,v,"[[520.5  525.  ]
 [536.5  589.  ]
 [538.25 566.25]]"
d2098,d2098,d,"[[861. 659.]
 [749. 562.]
 [758. 487.]
 [748. 448.]
 [769. 603.]]"
v10204,v10204,v,"[[552.6667 406.    ]
 [588.     506.    ]]"
e256,e256,e,"[[1142.5  731. ]
 [1129.5  765.5]
 [1210.5  773.5]
 [1156.   812. ]]"
e4009,e4009,e,"[[722.6667 613.6667]
 [725.3333 674.3333]
 [745.3333 648.3333]
 [618.6667 627.6667]
 [668.     579.    ]
 [740.     713.5   ]]"
v28,v28,v,"[[151.33333 827.6667 ]
 [224.      639.6667 ]
 [384.66666 670.6667 ]]"
e4078,e4078,e,"[[784.3333  448.66666]
 [764.3333  448.66666]
 [836.3333  586.     ]
 [724.6667  546.6667 ]]"
e227,e227,e,"[[728.5 345.5]
 [731.  302. ]
 [693.  313.5]
 [662.5 397. ]
 [814.5 430.5]
 [793.  343.5]
 [745.  463. ]
 [674.5 456.5]
 [735.5 409. ]
 [830.  413. ]
 [738.  322.5]
 [682.  352.5]
 [784.5 317.5]
 [801.5 362. ]]"
v6020,v6020,v,"[[ 362. 3460.]
 [ 352. 3366.]]"
d1003b,d1003b,d,"[[ 670. 1710.]
 [ 662. 1768.]
 [1758. 3658.]
 [1494. 3668.]
 [1520. 3788.]]"
e4005,e4005,e,"[[617.3333 521.6667]
 [539.3333 568.3333]
 [626.6667 598.    ]]"
v1024,v1024,v,"[[629.     520.3333]
 [546.     512.5   ]
 [574.     413.5   ]
 [589.     476.5   ]]"
d513,d513,d,"[[363.66666 354.     ]
 [424.33334 428.     ]]"
e18,e18,e,"[[580.     392.    ]
 [622.3333 284.    ]
 [582.6667 365.    ]]"
e65,e65,e,"[[712.      417.33334]
 [647.      501.33334]
 [649.      573.3333 ]
 [554.5     447.5    ]
 [641.      431.     ]
 [656.      523.     ]
 [723.5     500.     ]
 [573.5     564.5    ]]"
e4049b,e4049b,e,"[[1014.      446.    ]
 [1130.6666  610.    ]]"
d501,d501,d,"[[1189.      547.    ]
 [1271.      576.3333]]"
v270,v270,v,"[[618.  514.5]
 [674.5 574.5]]"
d1003,d1003,d,"[[1108. 1444.]
 [1126. 1426.]
 [1152. 1524.]
 [1012. 1436.]
 [1278. 1420.]]"
e14,e14,e,"[[920.5 714. ]
 [974.5 687.5]]"
e2590,e2590,e,"[[647.3333  499.33334]
 [703.3333  411.     ]
 [669.6667  416.33334]]"
e2140,e2140,e,"[[1015.6667   385.66666]
 [ 943.6667   426.66666]]"
d425,d425,d,"[[350.5 298. ]
 [263.  325.5]
 [308.5 231.5]]"
d525,d525,d,"[[ 626.  373.]
 [ 836.  395.]
 [ 877.  419.]
 [ 926.  533.]
 [ 946.  539.]
 [ 914.  556.]
 [1010.  552.]]"
e4087,e4087,e,"[[733.6667 555.6667]
 [683.6667 560.3333]]"
v180,v180,v,"[[648.6667  524.     ]
 [766.      699.3333 ]
 [728.6667  663.3333 ]
 [680.      599.3333 ]
 [872.3333  477.66666]
 [776.3333  654.6667 ]]"
e171,e171,e,"[[788.6667 564.    ]
 [880.     573.6667]
 [736.3333 643.3333]
 [849.     600.    ]
 [809.     609.    ]]"
e75,e75,e,"[[651.     493.5   ]
 [731.     500.5   ]
 [678.     536.    ]
 [672.     582.5   ]
 [652.     610.6667]]"
d572,d572,d,"[[431. 515.]
 [626. 746.]
 [393. 558.]
 [640. 592.]]"
e291,e291,e,"[[705.  442.5]
 [786.  562. ]
 [749.5 512.5]
 [743.  532.5]
 [720.5 541.5]
 [716.5 564. ]
 [698.  544.5]
 [714.  415.5]]"
e2050,e2050,e,"[[1028.5  202. ]
 [1084.5  266.5]
 [1013.   290.5]]"
e2150,e2150,e,"[[878.5 656.5]
 [866.  512. ]
 [880.  521. ]
 [824.5 634.5]]"
e173,e173,e,"[[637.5 466. ]
 [706.  485. ]
 [677.5 532.5]
 [683.5 490.5]]"
e51,e51,e,"[[835.3333  360.66666]
 [665.3333  526.6667 ]
 [751.      543.5    ]
 [828.5     520.5    ]
 [904.6667  458.33334]
 [833.      458.5    ]
 [796.5     435.     ]
 [862.      451.     ]
 [614.5     602.5    ]
 [845.6667  312.33334]]"
d1910,d1910,d,"[[735. 604.]
 [719. 582.]
 [802. 670.]
 [832. 519.]]"
v4131,v4131,v,"[[714.3333  641.6667 ]
 [669.      693.6667 ]
 [518.3333  494.33334]
 [493.      497.66666]]"
e4097,e4097,e,"[[666.     683.6667]
 [704.6667 769.3333]
 [571.3333 710.6667]]"
e2770,e2770,e,"[[590.     433.5   ]
 [643.3333 423.    ]
 [681.     475.5   ]]"
e262,e262,e,"[[547.5 412. ]
 [563.5 422. ]
 [605.5 397. ]
 [568.  450.5]]"
e201,e201,e,"[[766.6667 658.3333]
 [677.     674.    ]
 [730.3333 577.    ]]"
v6006,v6006,v,"[[1806. 3192.]
 [1826. 3202.]
 [1750. 3234.]
 [1884. 3226.]]"
e4052,e4052,e,"[[433.33334 517.     ]
 [479.33334 511.     ]
 [416.      485.66666]
 [482.      427.     ]
 [603.3333  542.6667 ]]"
e270,e270,e,"[[750.5 527.5]
 [736.5 542.5]
 [705.  401.5]
 [642.  385.5]
 [724.  488.5]
 [783.  549.5]]"
e313,e313,e,"[[1007.3333   285.66666]
 [ 993.3333   311.     ]
 [ 983.3333   289.     ]]"
