,ID,condition,coords
d491,d491,d,"[[667.5 478. ]
 [692.  560. ]
 [778.  569. ]
 [773.5 458.5]
 [942.5 558. ]]"
v6016,v6016,v,"[[1118.  586.]
 [ 992.  610.]]"
d169,d169,d,"[[652.      450.66666]
 [428.      362.     ]
 [679.6667  319.66666]]"
e4050b,e4050b,e,"[[436.5 467. ]
 [378.5 479. ]]"
d2086,d2086,d,"[[516.     512.6667]
 [604.     378.    ]]"
e182,e182,e,"[[569.6667  298.     ]
 [520.3333  359.33334]
 [568.3333  374.     ]
 [632.3333  282.66666]
 [726.3333  414.     ]
 [658.3333  287.33334]
 [740.3333  302.66666]]"
e4017,e4017,e,"[[819.     542.    ]
 [631.     636.    ]
 [776.6667 677.3334]
 [682.6667 687.3334]]"
d2098,d2098,d,"[[861. 659.]
 [749. 562.]
 [758. 487.]
 [748. 448.]
 [769. 603.]]"
e256,e256,e,"[[1142.5  731. ]
 [1129.5  765.5]
 [1210.5  773.5]
 [1156.   812. ]]"
e4009,e4009,e,"[[722.6667 613.6667]
 [725.3333 674.3333]
 [745.3333 648.3333]
 [618.6667 627.6667]
 [668.     579.    ]
 [740.     713.5   ]]"
e4078,e4078,e,"[[784.3333  448.66666]
 [764.3333  448.66666]
 [836.3333  586.     ]
 [724.6667  546.6667 ]]"
e227,e227,e,"[[728.5 345.5]
 [731.  302. ]
 [693.  313.5]
 [662.5 397. ]
 [814.5 430.5]
 [793.  343.5]
 [745.  463. ]
 [674.5 456.5]
 [735.5 409. ]
 [830.  413. ]
 [738.  322.5]
 [682.  352.5]
 [784.5 317.5]
 [801.5 362. ]]"
v6020,v6020,v,"[[ 362. 3460.]
 [ 352. 3366.]]"
d1003b,d1003b,d,"[[ 670. 1710.]
 [ 662. 1768.]
 [1758. 3658.]
 [1494. 3668.]
 [1520. 3788.]]"
e4005,e4005,e,"[[617.3333 521.6667]
 [539.3333 568.3333]
 [626.6667 598.    ]]"
d513,d513,d,"[[363.66666 354.     ]
 [424.33334 428.     ]]"
d501,d501,d,"[[1189.      547.    ]
 [1271.      576.3333]]"
d1003,d1003,d,"[[1108. 1444.]
 [1126. 1426.]
 [1152. 1524.]
 [1012. 1436.]
 [1278. 1420.]]"
d425,d425,d,"[[350.5 298. ]
 [263.  325.5]
 [308.5 231.5]]"
d525,d525,d,"[[ 626.  373.]
 [ 836.  395.]
 [ 877.  419.]
 [ 926.  533.]
 [ 946.  539.]
 [ 914.  556.]
 [1010.  552.]]"
e4087,e4087,e,"[[733.6667 555.6667]
 [683.6667 560.3333]]"
e171,e171,e,"[[788.6667 564.    ]
 [880.     573.6667]
 [736.3333 643.3333]
 [849.     600.    ]
 [809.     609.    ]]"
d572,d572,d,"[[431. 515.]
 [626. 746.]
 [393. 558.]
 [640. 592.]]"
e291,e291,e,"[[705.  442.5]
 [786.  562. ]
 [749.5 512.5]
 [743.  532.5]
 [720.5 541.5]
 [716.5 564. ]
 [698.  544.5]
 [714.  415.5]]"
e173,e173,e,"[[637.5 466. ]
 [706.  485. ]
 [677.5 532.5]
 [683.5 490.5]]"
d1910,d1910,d,"[[735. 604.]
 [719. 582.]
 [802. 670.]
 [832. 519.]]"
v4131,v4131,v,"[[714.3333  641.6667 ]
 [669.      693.6667 ]
 [518.3333  494.33334]
 [493.      497.66666]]"
e4097,e4097,e,"[[666.     683.6667]
 [704.6667 769.3333]
 [571.3333 710.6667]]"
e262,e262,e,"[[547.5 412. ]
 [563.5 422. ]
 [605.5 397. ]
 [568.  450.5]]"
e201,e201,e,"[[766.6667 658.3333]
 [677.     674.    ]
 [730.3333 577.    ]]"
v6006,v6006,v,"[[1806. 3192.]
 [1826. 3202.]
 [1750. 3234.]
 [1884. 3226.]]"
e4052,e4052,e,"[[433.33334 517.     ]
 [479.33334 511.     ]
 [416.      485.66666]
 [482.      427.     ]
 [603.3333  542.6667 ]]"
e270,e270,e,"[[750.5 527.5]
 [736.5 542.5]
 [705.  401.5]
 [642.  385.5]
 [724.  488.5]
 [783.  549.5]]"
e213,e213,e,"[[616.  505. ]
 [723.5 655.5]
 [682.  613.5]]"
d593,d593,d,"[[831. 639.]
 [855. 710.]]"
v6014,v6014,v,"[[ 882. 2655.]
 [ 813. 2616.]]"
d120,d120,d,"[[763.3333 491.    ]
 [782.     483.    ]
 [793.3333 515.6667]]"
e4019,e4019,e,"[[775. 439.]
 [725. 469.]
 [710. 545.]
 [671. 557.]]"
e192,e192,e,"[[803.6667 543.3333]
 [719.6667 631.3333]
 [653.     700.6667]
 [571.6667 716.    ]
 [545.     722.6667]
 [531.     682.6667]
 [551.     646.    ]
 [667.     679.3333]
 [559.     678.6667]]"
e4007,e4007,e,"[[763.      327.66666]
 [739.      335.     ]
 [683.6667  367.66666]
 [649.6667  279.66666]
 [801.3333  336.66666]
 [908.6667  416.     ]]"
e258,e258,e,"[[852.6667 526.    ]
 [767.     578.3333]
 [640.     547.6667]
 [832.6667 496.    ]]"
e237,e237,e,"[[643.5 421. ]
 [714.  604. ]
 [732.5 608.5]]"
e4068,e4068,e,"[[805.     319.    ]
 [769.     524.    ]
 [914.     454.    ]
 [805.     460.6667]
 [727.6667 516.6667]]"
e165,e165,e,"[[637.5 343. ]
 [683.5 384.5]
 [704.  485.5]
 [646.  590.5]
 [616.5 574. ]
 [628.  501.5]
 [627.  414.5]
 [644.  407. ]
 [696.5 424. ]
 [612.  408.5]]"
v4135,v4135,v,"[[968. 258.]
 [827. 286.]]"
d531,d531,d,"[[734. 625.]
 [747. 704.]
 [620. 699.]
 [810. 695.]]"
e177,e177,e,"[[793.  481. ]
 [742.  478.5]
 [753.  518. ]
 [641.  398. ]
 [553.  373. ]
 [703.  509.5]
 [716.5 565.5]
 [495.  361.5]
 [495.  385.5]]"
d540,d540,d,"[[727.      309.33334]
 [683.      446.     ]]"
d1906,d1906,d,"[[761. 638.]
 [723. 715.]
 [758. 710.]
 [665. 608.]
 [578. 668.]]"
