,ID,condition,coords
d491,d491,d,"[[671.5    633.5   ]
 [687.5    636.    ]
 [704.5    636.5   ]
 [720.5    634.5   ]
 [734.5    631.5   ]
 [746.5    634.    ]
 [758.5    632.5   ]
 [769.5    631.    ]
 [784.5    628.    ]
 [803.5    627.    ]
 [822.5    624.8333]
 [832.8333 622.5   ]
 [840.8333 621.5   ]
 [852.8333 623.8333]
 [866.8333 621.5   ]
 [877.1667 616.1667]
 [888.1667 612.5   ]
 [898.75   609.5   ]
 [910.     607.25  ]
 [921.75   605.25  ]
 [932.25   603.5   ]]"
v6016,v6016,v,"[[ 923  555]
 [ 928  579]
 [ 940  597]
 [ 952  617]
 [ 961  632]
 [ 977  651]
 [ 993  667]
 [1003  679]
 [1012  689]]"
d169,d169,d,"[[739.5     419.83334]
 [710.8333  454.1667 ]
 [693.8333  487.1667 ]
 [673.8333  536.8334 ]
 [662.5     555.5    ]
 [649.8333  601.5    ]
 [650.1667  601.8334 ]]"
e4050b,e4050b,e,"[[435.5  396.5 ]
 [444.75 399.5 ]
 [453.25 403.75]
 [460.5  409.5 ]
 [468.   418.5 ]
 [476.75 429.  ]]"
d2086,d2086,d,"[[321.83334 429.83334]
 [329.      433.5    ]
 [337.33334 439.6667 ]
 [345.33334 445.1667 ]
 [356.75    450.     ]
 [370.      458.75   ]
 [384.25    468.25   ]
 [393.25    472.25   ]
 [404.      483.5    ]
 [408.5     488.5    ]
 [420.      496.75   ]
 [428.5     507.     ]
 [438.75    517.5    ]
 [445.      527.     ]
 [453.      537.     ]
 [460.75    547.5    ]
 [467.5     555.25   ]
 [471.5     559.8334 ]]"
e182,e182,e,"[[848.8333  311.83334]
 [832.1666  315.83334]
 [817.1666  315.83334]
 [800.8333  311.83334]
 [783.5     304.83334]
 [773.5     299.83334]
 [762.8333  287.5    ]
 [756.8333  277.1667 ]
 [746.8333  264.5    ]
 [737.1666  250.83334]
 [731.1666  238.5    ]]"
e4017,e4017,e,"[[906 549]
 [896 574]
 [886 595]
 [870 614]
 [864 631]
 [854 654]
 [846 677]
 [838 695]
 [812 729]]"
d2098,d2098,d,"[[762.75 683.75]
 [755.75 676.75]
 [745.75 671.  ]
 [735.75 664.5 ]
 [723.5  654.25]
 [712.75 644.75]
 [703.   633.75]
 [696.75 626.  ]
 [689.75 616.5 ]
 [684.   609.75]
 [680.   605.75]
 [672.25 599.5 ]
 [664.25 591.75]
 [658.75 584.75]]"
e256,e256,e,"[[1132.5  829. ]
 [1139.5  828. ]
 [1148.5  831. ]
 [1153.   830.5]
 [1163.   834. ]
 [1173.   837. ]
 [1181.5  839. ]
 [1191.5  844. ]
 [1203.5  849. ]]"
e4009,e4009,e,"[[718.1667 554.1667]
 [706.1667 549.1667]
 [696.1667 543.5   ]
 [688.5    539.5   ]
 [681.8334 532.8334]
 [673.8334 527.8334]
 [663.1667 519.5   ]]"
e4078,e4078,e,"[[570.5     396.5    ]
 [579.5     406.83334]
 [589.1667  417.83334]
 [596.1667  427.83334]
 [601.8333  438.16666]
 [604.1667  449.16666]]"
e227,e227,e,"[[634.   376.25]
 [632.5  386.  ]
 [632.25 394.75]
 [634.   410.  ]
 [635.75 416.5 ]
 [639.75 426.75]
 [645.   434.75]]"
v6020,v6020,v,"[[ 482 3464]
 [ 502 3448]
 [ 520 3435]
 [ 537 3422]
 [ 544 3399]
 [ 549 3389]
 [ 563 3378]
 [ 572 3370]
 [ 578 3360]
 [ 586 3345]
 [ 586 3332]
 [ 588 3316]
 [ 596 3302]
 [ 610 3283]
 [ 620 3259]
 [ 640 3244]]"
d1003b,d1003b,d,"[[1480 3486]
 [1490 3466]
 [1501 3443]
 [1516 3419]
 [1531 3400]
 [1548 3384]
 [1567 3372]
 [1586 3359]
 [1597 3353]]"
e4005,e4005,e,"[[502.16666 536.1667 ]
 [514.8333  525.1667 ]
 [527.1666  514.8334 ]
 [536.8333  505.83334]
 [546.5     496.50003]
 [554.1666  488.1667 ]
 [564.8333  480.83334]
 [574.1666  473.83334]]"
d513,d513,d,"[[521.5 611.5]
 [521.  596. ]
 [523.5 579. ]
 [526.  569.5]
 [528.5 555. ]
 [537.  540. ]
 [547.  529. ]
 [558.5 518.5]
 [571.  510.5]
 [581.5 506.5]
 [591.  504. ]
 [601.  503. ]]"
d501,d501,d,"[[1333.5  458.5]
 [1328.5  477.5]
 [1324.   492. ]
 [1319.   508. ]
 [1312.5  526.5]
 [1301.   549. ]
 [1291.   570.5]
 [1280.5  591.5]
 [1265.5  608. ]
 [1258.   616.5]]"
d1003,d1003,d,"[[1186.  1344.5]
 [1181.  1354.5]
 [1174.  1364. ]
 [1166.5 1374. ]
 [1156.5 1384. ]
 [1144.5 1392. ]
 [1121.  1404. ]
 [1098.5 1412.5]
 [1074.  1416.5]
 [1051.5 1413. ]
 [1038.  1405.5]]"
d425,d425,d,"[[371.83334 358.83334]
 [360.83334 364.83334]
 [352.1667  367.83334]
 [341.1667  371.83334]
 [338.1667  377.83334]
 [329.1667  381.5    ]
 [321.5     384.1667 ]
 [316.1667  386.5    ]]"
d525,d525,d,"[[609.  275.5]
 [630.  280. ]
 [651.  286. ]
 [669.5 289.5]
 [688.5 292. ]
 [718.5 295. ]
 [745.  292.5]
 [763.  286. ]
 [790.  276.5]]"
