field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,375,374,205,54.67,53.74,47.78
2,372,424,256,68.82,61.56,57.57
3,379,425,222,58.58,52.47,48.6
4,363,411,234,64.46,56.2,56.61
5,395,432,241,61.01,55.79,51.77
6,369,421,222,60.16,53.21,52.27
7,356,390,213,59.83,55.13,51.23
8,363,415,245,67.49,60.48,57.39
9,386,417,243,62.95,58.03,53.79
10,358,402,213,59.5,52.99,47.39
11,373,414,267,71.58,64.01,61.59
12,371,419,228,61.46,54.18,52.18
13,394,437,237,60.15,54.0,52.21
14,408,444,273,66.91,60.81,58.65
15,383,410,231,60.31,56.1,53.0
16,362,423,218,60.22,51.06,52.18
17,376,444,248,65.96,56.31,58.15
18,381,414,251,65.88,60.14,58.06
19,360,446,244,67.78,55.61,57.56
20,359,414,252,70.19,61.59,61.97
