field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,413,429,336,81.36,79.25,75.21
2,388,435,325,83.76,77.01,76.26
3,377,416,316,83.82,77.16,77.44
4,376,384,296,78.72,77.08,67.69
5,406,428,321,79.06,76.17,69.82
6,400,456,347,86.75,78.07,77.61
7,418,433,328,78.47,75.75,69.2
8,405,433,335,82.72,77.6,74.22
9,392,403,309,78.83,77.92,62.04
10,417,453,342,82.01,76.16,69.43
11,422,450,346,81.99,77.33,72.95
12,359,402,304,84.68,75.62,67.29
13,405,440,328,80.99,75.45,63.63
14,400,458,338,84.5,75.11,77.57
15,411,418,325,79.08,78.47,70.25
16,389,435,321,82.52,74.02,72.94
17,383,419,302,78.85,72.08,62.52
18,386,414,331,85.75,80.43,77.18
19,407,436,349,85.75,80.5,76.51
20,367,419,302,82.29,73.03,72.51
21,450,468,370,82.22,79.27,66.04
22,385,426,323,83.9,76.53,71.59
23,403,445,327,81.14,74.16,72.52
24,402,427,340,84.58,79.63,73.94
25,426,483,355,83.33,73.91,75.15
