field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,250,240,79,31.6,32.5,26.33
2,312,222,97,31.09,42.79,22.74
3,288,281,156,54.17,56.58,47.9
4,214,396,114,53.27,29.04,39.85
5,325,360,142,43.69,40.28,28.92
6,271,376,180,66.42,46.01,52.23
7,299,398,150,50.17,38.44,31.07
8,341,401,169,49.56,41.4,31.94
9,225,346,104,46.22,30.06,30.41
10,330,386,202,61.21,51.55,47.66
11,350,379,235,67.14,61.74,56.04
12,362,391,246,67.96,62.92,54.58
13,355,353,194,54.65,53.54,40.12
14,312,391,177,56.73,45.01,38.9
15,315,400,196,62.22,49.5,47.3
