field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,390,402,316,81.03,80.1,71.57
2,433,436,321,74.13,74.77,63.26
3,370,389,270,72.97,70.44,63.57
4,369,369,266,72.09,71.54,67.22
5,410,416,309,75.37,75.24,68.4
6,424,461,321,75.71,71.15,65.22
7,423,408,313,74.0,76.72,63.18
8,417,403,294,70.5,73.2,64.23
9,374,398,279,74.6,70.85,67.8
10,396,436,306,77.27,70.64,68.37
11,369,373,284,76.96,75.6,66.75
12,355,355,267,75.21,75.49,68.4
13,419,429,310,73.99,73.66,63.0
14,416,411,311,74.76,75.91,66.28
15,377,383,270,71.62,71.02,62.1
16,415,437,312,75.18,72.54,65.66
17,419,411,316,75.42,76.89,67.6
18,424,403,301,70.99,73.95,65.22
19,425,455,336,79.06,74.29,67.93
20,396,375,279,70.45,75.73,62.82
21,409,420,305,74.57,73.33,65.51
22,436,435,339,77.75,78.39,69.4
23,424,425,327,77.12,76.71,69.63
24,420,434,325,77.38,76.27,64.9
25,393,423,277,70.48,66.43,63.15
