field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,292,352,165,56.51,46.59,47.78
2,328,377,184,56.1,49.6,42.74
3,315,374,162,51.43,42.51,40.87
4,368,384,185,50.27,47.92,39.56
6,329,367,236,71.73,64.58,61.91
7,345,404,220,63.77,52.97,53.1
8,298,317,166,55.7,51.42,48.21
9,325,343,162,49.85,47.52,41.32
10,345,381,188,54.49,48.82,45.55
11,266,353,152,57.14,42.49,48.31
12,378,376,158,41.8,40.16,29.84
13,331,331,138,41.69,40.79,33.33
14,325,355,173,53.23,48.45,47.33
15,291,335,167,57.39,49.85,51.57
16,320,350,133,41.56,38.0,34.79
17,346,385,202,58.38,51.95,47.39
18,335,345,153,45.67,42.61,33.89
19,318,298,158,49.69,51.01,39.38
20,305,330,129,42.3,38.48,28.76
