field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,424,436,359,84.67,82.34,72.29
2,411,435,299,72.75,69.89,61.03
3,420,432,343,81.67,79.86,76.39
4,389,409,296,76.09,71.88,66.79
5,388,439,328,84.54,76.54,77.53
6,385,443,324,84.16,75.4,73.08
7,387,425,332,85.79,79.06,78.45
8,376,406,322,85.64,80.05,67.01
9,362,412,290,80.11,71.6,72.22
10,393,422,305,77.61,73.46,70.49
11,432,445,358,82.87,81.12,75.61
12,409,428,330,80.68,78.04,73.31
13,377,416,275,72.94,66.11,66.97
14,394,431,338,85.79,79.81,77.67
15,305,348,257,84.26,75.57,78.64
16,396,452,351,88.64,78.98,80.53
17,376,405,320,85.11,79.51,75.75
18,418,429,335,80.14,80.19,72.72
19,396,431,336,84.85,80.05,78.48
20,390,450,342,87.69,77.33,77.43
21,415,462,357,86.02,79.0,77.16
22,412,398,299,72.57,74.37,64.08
23,368,354,281,76.36,77.97,54.41
24,436,468,366,83.94,79.7,75.69
25,401,430,334,83.29,79.77,76.19
